"id","neighbourhood","city","state","zipcode","property_type","room_type","bedrooms","price","last_review","review_scores_rating","review_scores_value","reviews_per_month","availability_30","availability_365"
"13748557","American University Park","Washington","DC","20016","House","Entire home/apt","4","$150.00 ",2017-12-31T00:00:00.0000000,"100","10","0.63","0","0"
"12583798","Logan Circle","Washington","DC","20001","House","Entire home/apt","3","$325.00 ",2017-12-31T00:00:00.0000000,"86","9","2.28","6","248"
"2739243","Adams Morgan","Washington","DC","20009","Apartment","Entire home/apt","2","$150.00 ",2017-12-30T00:00:00.0000000,"98","9","0.3","0","0"
"4111432","Brookland","Washington","DC","20018","House","Entire home/apt","3","$150.00 ",2017-12-30T00:00:00.0000000,"93","9","2.33","0","0"
"3022207","Capitol Hill","Washington","DC","20003","House","Entire home/apt","5","$1,750.00 ",2017-12-30T00:00:00.0000000,"92","10","0.14","0","0"
"16105033","Georgetown","Washington","DC","20007","Townhouse","Entire home/apt","3","$295.00 ",2017-12-30T00:00:00.0000000,"100","10","0.23","0","0"
"284165","LeDroit Park","Washington","DC","20001","Apartment","Entire home/apt","1","$105.00 ",2017-12-30T00:00:00.0000000,"93","9","0.91","0","129"
"4263520","Near Northeast/H Street Corridor","Washington","DC","20002","House","Entire home/apt","1","$130.00 ",2017-12-30T00:00:00.0000000,"94","10","4.66","7","313"
"705901","Petworth","Washington","DC","20011","House","Private room","1","$120.00 ",2017-12-30T00:00:00.0000000,"100","10","0.11","29","364"
"11299890","Woodley Park","Washington","DC","20008","House","Entire home/apt","5","$495.00 ",2017-12-30T00:00:00.0000000,"97","10","0.5","8","253"
"15804990","16th Street Heights","Washington","DC","20011","Apartment","Entire home/apt","2","$85.00 ",2017-12-29T00:00:00.0000000,"100","10","0.39","0","9"
"15646617","Cleveland Park","Washington","DC","20016","Apartment","Entire home/apt","0","$120.00 ",2017-12-29T00:00:00.0000000,"","","0.22","0","0"
"3876165","Eckington","Washington","DC","20002","Apartment","Entire home/apt","1","$105.00 ",2017-12-29T00:00:00.0000000,"95","9","1.1","14","60"
"11089145","Logan Circle","Washington","DC","20009","Townhouse","Entire home/apt","1","$175.00 ",2017-12-29T00:00:00.0000000,"95","10","1.86","14","142"
"15886110","Shaw","Washington","DC","20001","Apartment","Entire home/apt","1","$170.00 ",2017-12-29T00:00:00.0000000,"100","10","0.75","0","0"
"16215665","Capitol Hill","Washington","DC","20003","Condominium","Entire home/apt","2","$195.00 ",2017-12-28T00:00:00.0000000,"100","10","0.22","0","0"
"15451584","Cleveland Park","Washington","DC","20016","House","Entire home/apt","5","$750.00 ",2017-12-28T00:00:00.0000000,"100","10","0.22","0","264"
"16240022","Dupont Circle","Washington","DC","20009","Apartment","Entire home/apt","2","$250.00 ",2017-12-28T00:00:00.0000000,"80","8","0.22","0","0"
"4758676","Mount Pleasant","Washington, D.C.","DC","20010","Apartment","Entire home/apt","1","$125.00 ",2017-12-28T00:00:00.0000000,"92","9","0.77","3","309"
"10340071","Shipley Terrace","Washington","DC","20032","Apartment","Entire home/apt","1","$75.00 ",2017-12-28T00:00:00.0000000,"96","9","0.33","20","355"
"4580159","Capitol Hill","Washington","DC","20002","House","Entire home/apt","1","$125.00 ",2017-12-26T00:00:00.0000000,"100","9","0.28","7","342"
"4708560","Capitol Hill","Washington","DC","20003","House","Entire home/apt","3","$329.00 ",2017-12-26T00:00:00.0000000,"100","10","0.36","8","142"
"13473544","Georgetown","Washington","DC","20007","Apartment","Entire home/apt","1","$74.00 ",2017-12-26T00:00:00.0000000,"93","10","0.76","0","22"
"3663","Manor Park","Washington","DC","20011","House","Entire home/apt","4","$183.00 ",2017-12-26T00:00:00.0000000,"97","10","0.46","3","23"
"1997443","Park View","Washington","DC","20010","Townhouse","Private room","1","$88.00 ",2017-12-26T00:00:00.0000000,"87","9","0.77","0","0"
