"id","neighbourhood","city","state","zipcode","property_type","room_type","bedrooms","price","last_review","review_scores_rating","review_scores_value","reviews_per_month","availability_30","availability_365"
"7337980","Mid-Wilshire","Los Angeles","CA","90048","Apartment","Entire home/apt","2","$395.00 ",2017-01-01T00:00:00.0000000,"80","8","0.06","30","365"
"9315809","Valley Village","Los Angeles","CA","91607","House","Entire home/apt","1","$100.00 ",2017-01-01T00:00:00.0000000,"100","10","0.06","27","362"
"946034","Echo Park","Los Angeles","CA","90026","House","Entire home/apt","2","$159.00 ",2017-01-01T00:00:00.0000000,"100","10","0.14","0","0"
"3228847","Mid-Wilshire","Los Angeles","CA","90036","Apartment","Entire home/apt","2","$169.00 ",2017-01-01T00:00:00.0000000,"100","10","0.09","0","0"
"5632442","Hollywood Hills","Los Angeles","CA","90068","House","Entire home/apt","2","$210.00 ",2017-01-01T00:00:00.0000000,"91","9","0.27","0","0"
"6660521","Hollywood Hills","Los Angeles","CA","90068","House","Entire home/apt","3","$250.00 ",2017-01-01T00:00:00.0000000,"55","6","0.21","0","306"
"1290697","Mid-Wilshire","Los Angeles","CA","90004","House","Entire home/apt","3","$275.00 ",2017-01-01T00:00:00.0000000,"94","10","0.25","0","146"
"9093720","Palms","Los Angeles","CA","90034","Apartment","Private room","1","$45.00 ",2017-01-01T00:00:00.0000000,"90","9","0.12","0","0"
"9739269","Silver Lake","Los Angeles","CA","90026","House","Entire home/apt","1","$145.00 ",2017-01-01T00:00:00.0000000,"40","2","0.06","0","0"
"9452639","Venice","Los Angeles","CA","90291","Apartment","Entire home/apt","1","$105.00 ",2017-01-01T00:00:00.0000000,"100","10","0.17","0","0"
"6689307","Westlake","Los Angeles","CA","90017","Apartment","Entire home/apt","1","$299.00 ",2017-01-01T00:00:00.0000000,"80","7","0.1","0","0"
"6820285","Westlake","Los Angeles","CA","90017","Apartment","Entire home/apt","2","$349.00 ",2017-01-01T00:00:00.0000000,"90","9","0.11","0","0"
"4155987","Alhambra","Alhambra","CA","91803","House","Private room","1","$65.00 ",2017-01-01T00:00:00.0000000,"98","10","0.44","30","365"
"8539072","Altadena","Altadena","CA","91001","House","Entire home/apt","2","$125.00 ",2017-01-01T00:00:00.0000000,"95","10","0.25","0","0"
"2997467","Westchester/Playa Del Rey","Playa Del Rey","CA","90293","House","Entire home/apt","3","$374.00 ",2017-01-01T00:00:00.0000000,"90","8","0.23","23","347"
"2478944","Mid-Wilshire","Los Angeles","CA","90048","Apartment","Shared room","1","$57.00 ",2017-01-01T00:00:00.0000000,"93","9","2.18","0","276"
"2209038","Mid-Wilshire","Los Angeles","CA","90048","Bed & Breakfast","Private room","1","$70.00 ",2017-01-01T00:00:00.0000000,"95","10","1.01","21","351"
"13841712","Boyle Heights","Los Angeles","CA","90063","House","Entire home/apt","0","$79.00 ",2017-01-01T00:00:00.0000000,"96","10","0.98","0","198"
"12854409","Brentwood","Los Angeles","CA","90049","Apartment","Entire home/apt","0","$100.00 ",2017-01-01T00:00:00.0000000,"94","10","1.41","0","16"
"16158202","Downtown","Los Angeles","CA","90014","Loft","Shared room","1","$70.00 ",2017-01-01T00:00:00.0000000,"100","6","0.24","0","122"
"15658924","Downtown","Los Angeles","CA","90014","Loft","Private room","1","$80.00 ",2017-01-01T00:00:00.0000000,"90","10","0.38","0","0"
"12684793","Hollywood","Los Angeles","CA","90046","Apartment","Entire home/apt","0","$90.00 ",2017-01-01T00:00:00.0000000,"100","10","0.43","0","0"
"14902575","Hollywood","Los Angeles","CA","90038","Other","Entire home/apt","0","$500.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","30","365"
"9047427","Hollywood","Los Angeles","CA","90038","Apartment","Entire home/apt","1","$85.00 ",2017-01-01T00:00:00.0000000,"73","8","0.5","0","196"
"16369295","Hollywood","Los Angeles","CA","90038","Bungalow","Entire home/apt","2","$200.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","30","365"
"66456","Hollywood","Los Angeles","CA","90029","House","Entire home/apt","1","$175.00 ",2017-01-01T00:00:00.0000000,"98","10","0.76","1","1"
"9865338","East Hollywood","Los Angeles","CA","90004","Apartment","Private room","1","$50.00 ",2017-01-01T00:00:00.0000000,"84","8","0.43","0","0"
"4111683","East Hollywood","Los Angeles","CA","90004","Apartment","Entire home/apt","1","$91.00 ",2017-01-01T00:00:00.0000000,"100","9","0.08","0","116"
"11610903","Mid-Wilshire","Los Angeles","CA","90004","Apartment","Entire home/apt","0","$73.00 ",2017-01-01T00:00:00.0000000,"97","10","1.36","0","0"
"13082409","Mid-Wilshire","Los Angeles","CA","90036","Apartment","Entire home/apt","1","$109.00 ",2017-01-01T00:00:00.0000000,"100","10","0.57","0","16"
"286771","Echo Park","Los Angeles","CA","90026","Apartment","Entire home/apt","0","$67.00 ",2017-01-01T00:00:00.0000000,"93","9","0.27","0","218"
"6291064","Echo Park","Los Angeles","CA","90039","House","Entire home/apt","2","$199.00 ",2017-01-01T00:00:00.0000000,"98","10","0.35","0","0"
"3311690","Echo Park","Los Angeles","CA","90026","Apartment","Private room","1","$72.00 ",2017-01-01T00:00:00.0000000,"97","10","1.13","0","0"
"15772226","Glendale","Glendale","CA","91203","Apartment","Entire home/apt","3","$285.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","29","179"
"16478656","Burbank","Burbank","CA","91501","Apartment","Private room","1","$51.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","12","107"
"16001927","Glendale","Glendale","CA","91206","House","Private room","1","$70.00 ",2017-01-01T00:00:00.0000000,"100","10","0.48","30","89"
"14299089","Glendale","Glendale","CA","91206","Apartment","Entire home/apt","1","$168.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","30","365"
"4831227","Harbor City","Los Angeles","CA","90710","House","Private room","1","$52.00 ",2017-01-01T00:00:00.0000000,"98","10","3.06","13","163"
"2942666","Hawthorne","Hawthorne","CA","90250","House","Entire home/apt","3","$149.00 ",2017-01-01T00:00:00.0000000,"86","9","1.34","25","283"
"1907186","Hollywood Hills","Los Angeles","CA","90068","Apartment","Entire home/apt","1","$129.00 ",2017-01-01T00:00:00.0000000,"93","9","0.53","0","0"
"13675662","Hollywood Hills","Los Angeles","CA","90068","House","Entire home/apt","2","$379.00 ",2017-01-01T00:00:00.0000000,"96","10","1.51","29","364"
"14151315","Highland Park","Los Angeles","CA","90042","House","Private room","1","$42.00 ",2017-01-01T00:00:00.0000000,"93","9","1.29","0","322"
"16017587","Highland Park","Los Angeles","CA","90042","House","Entire home/apt","1","$80.00 ",2017-01-01T00:00:00.0000000,"100","10","0.82","0","0"
"9994860","Hollywood Hills","Los Angeles","CA","90068","House","Entire home/apt","3","$950.00 ",2017-01-01T00:00:00.0000000,"98","10","0.49","29","364"
"1893673","Hollywood","Los Angeles","CA","90046","House","Private room","1","$60.00 ",2017-01-01T00:00:00.0000000,"95","10","0.72","0","319"
"15743922","Laurel Canyon","Los Angeles","CA","90046","Guesthouse","Entire home/apt","2","$230.00 ",2017-01-01T00:00:00.0000000,"100","10","0.48","0","35"
"11210659","Laurel Canyon","Los Angeles","CA","90046","House","Entire home/apt","3","$498.00 ",2017-01-01T00:00:00.0000000,"92","9","0.81","22","347"
"16162508","Mid-Wilshire","Los Angeles","CA","90004","Hostel","Private room","1","$100.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","30","180"
"8667765","Mid-Wilshire","Los Angeles","CA","90020","Apartment","Entire home/apt","0","$100.00 ",2017-01-01T00:00:00.0000000,"100","10","0.26","0","0"
"9908660","Mid-Wilshire","Los Angeles","CA","90004","Apartment","Entire home/apt","2","$120.00 ",2017-01-01T00:00:00.0000000,"100","10","0.32","0","0"
"4668681","Los Feliz","Los Angeles","CA","90027","Apartment","Entire home/apt","2","$110.00 ",2017-01-01T00:00:00.0000000,"94","10","0.3","0","15"
"2075631","Hollywood","Los Angeles","CA","90027","Apartment","Entire home/apt","0","$85.00 ",2017-01-01T00:00:00.0000000,"96","9","0.59","0","13"
"8341021","La Puente","La Puente","CA","91744","House","Private room","1","$30.00 ",2017-01-01T00:00:00.0000000,"93","10","0.41","30","365"
"1042878","Mar Vista","Los Angeles","CA","90066","Other","Entire home/apt","1","$150.00 ",2017-01-01T00:00:00.0000000,"97","9","1.01","22","357"
"13101006","Long Beach","Long Beach","CA","90802","Condominium","Entire home/apt","1","$290.00 ",2017-01-01T00:00:00.0000000,"94","9","0.71","30","365"
"7875369","Long Beach","Long Beach","CA","90815","House","Private room","1","$65.00 ",2017-01-01T00:00:00.0000000,"87","9","0.36","5","281"
"15468953","Long Beach","Long Beach","CA","90814","Apartment","Private room","1","$50.00 ",2017-01-01T00:00:00.0000000,"100","10","0.6","23","354"
"6324819","Manhattan Beach","Manhattan Beach","CA","90266","Other","Entire home/apt","3","$250.00 ",2017-01-01T00:00:00.0000000,"91","9","0.84","2","281"
"14731181","South Robertson","Los Angeles","CA","90034","Apartment","Entire home/apt","1","$129.00 ",2017-01-01T00:00:00.0000000,"100","8","0.24","29","364"
"15486971","Mid-Wilshire","Los Angeles","CA","90036","Apartment","Entire home/apt","2","$230.00 ",2017-01-01T00:00:00.0000000,"90","10","0.36","29","89"
"3167558","Lincoln Heights","Los Angeles","CA","90031","House","Private room","1","$22.00 ",2017-01-01T00:00:00.0000000,"72","7","0.35","0","243"
"15871292","North Hollywood","Los Angeles","CA","91606","Apartment","Shared room","1","$45.00 ",2017-01-01T00:00:00.0000000,"100","10","0.35","28","88"
"8906397","South Robertson","Los Angeles","CA","90034","Apartment","Entire home/apt","1","$100.00 ",2017-01-01T00:00:00.0000000,"90","10","0.37","0","0"
"15221221","South Robertson","Los Angeles","CA","90034","Apartment","Entire home/apt","1","$99.00 ",2017-01-01T00:00:00.0000000,"93","10","0.44","0","120"
"9960320","Pasadena","Pasadena","CA","91106","Bungalow","Entire home/apt","1","$229.00 ",2017-01-01T00:00:00.0000000,"100","10","0.12","0","0"
"2532871","Pasadena","Pasadena","CA","91103","Apartment","Entire home/apt","2","$380.00 ",2017-01-01T00:00:00.0000000,"98","10","0.72","28","363"
"8521993","Pasadena","Pasadena","CA","91104","House","Entire home/apt","2","$129.00 ",2017-01-01T00:00:00.0000000,"85","9","0.66","25","175"
"6128739","West Los Angeles","Los Angeles","CA","90025","Apartment","Entire home/apt","2","$200.00 ",2017-01-01T00:00:00.0000000,"93","9","0.65","20","339"
"15891011","Santa Monica","Santa Monica","CA","90401","House","Private room","1","$120.00 ",2017-01-01T00:00:00.0000000,"20","","0.24","29","89"
"8567014","Santa Monica","Santa Monica","CA","90405","Other","Entire home/apt","0","$850.00 ",2017-01-01T00:00:00.0000000,"100","10","0.21","30","365"
"97354","Santa Monica","Santa Monica","CA","90402","House","Entire home/apt","3","$550.00 ",2017-01-01T00:00:00.0000000,"98","10","0.25","0","279"
"16335081","Santa Monica","Santa Monica","CA","90404","Townhouse","Shared room","1","$120.00 ",2017-01-01T00:00:00.0000000,"100","10","0.24","14","44"
"13753106","Sherman Oaks","Los Angeles","CA","91423","House","Entire home/apt","4","$500.00 ",2017-01-01T00:00:00.0000000,"100","","0.24","0","0"
