"id","neighbourhood","city","state","zipcode","property_type","room_type","bedrooms","price","last_review","review_scores_rating","review_scores_value","reviews_per_month","availability_30","availability_365"
"8221372","Hyde Park","Austin","TX","78751","House","Private room","1","$73.00 ",2017-01-01T00:00:00.0000000,"99","10","0.9","0","251"
"15181693","Rosedale","Austin","TX","78756","House","Entire home/apt","2","$180.00 ",2017-01-01T00:00:00.0000000,"100","10","1.1","7","104"
"9487955","Wooten","Austin","TX","78757","House","Private room","1","$35.00 ",2017-01-01T00:00:00.0000000,"94","10","1.09","5","340"
"8596056","East Riverside","Austin","TX","78741","House","Private room","1","$39.00 ",2017-01-01T00:00:00.0000000,"91","9","2.61","18","74"
"6556314","East Riverside","Austin","TX","78741","Condominium","Entire home/apt","2","$155.00 ",2017-01-01T00:00:00.0000000,"99","10","1.06","23","355"
"969135","Parker Lane","Austin","TX","78741","House","Private room","1","$76.00 ",2017-01-01T00:00:00.0000000,"93","9","3.09","0","96"
"4663369","Old West Austin","Austin","TX","78703","Guesthouse","Entire home/apt","1","$140.00 ",2017-01-01T00:00:00.0000000,"96","10","2.73","7","190"
"10087185","Old West Austin","Austin","TX","78703","House","Entire home/apt","1","$140.00 ",2017-01-01T00:00:00.0000000,"91","9","2.84","8","127"
"15715403","Old West Austin","Austin","TX","78703","House","Entire home/apt","2","$215.00 ",2017-01-01T00:00:00.0000000,"80","8","0.53","28","363"
"2423738","Clarksville","Austin","TX","78703","Bungalow","Entire home/apt","2","$185.00 ",2017-01-01T00:00:00.0000000,"93","9","1.09","21","356"
"10718279","Cherry Creek","Austin","TX","78749","House","Entire home/apt","3","$150.00 ",2017-01-01T00:00:00.0000000,"100","10","0.4","8","191"
"15873822","East Downtown","Austin","TX","78702","Apartment","Entire home/apt","2","$190.00 ",2017-01-01T00:00:00.0000000,"100","10","0.59","3","3"
"11670227","East Downtown","Austin","TX","78702","Apartment","Entire home/apt","1","$200.00 ",2017-01-01T00:00:00.0000000,"91","10","1.27","30","365"
"3904915","Govalle","Austin","TX","78702","House","Entire home/apt","1","$150.00 ",2017-01-01T00:00:00.0000000,"98","10","1.83","19","333"
"9281212","Holly","Austin","TX","78702","House","Entire home/apt","1","$150.00 ",2017-01-01T00:00:00.0000000,"86","9","1.38","15","208"
"3052787","Rosewood","Austin","TX","78702","House","Entire home/apt","1","$150.00 ",2017-01-01T00:00:00.0000000,"99","10","0.42","17","352"
"13914938","Govalle","Austin","TX","78702","Treehouse","Entire home/apt","0","$85.00 ",2017-01-01T00:00:00.0000000,"94","9","0.9","0","0"
"16229534","East Downtown","Austin","TX","78702","House","Entire home/apt","2","$200.00 ",2017-01-01T00:00:00.0000000,"100","10","0.45","29","363"
"9751869","Northwest Hills","Austin","TX","78731","House","Entire home/apt","5","$519.00 ",2017-01-01T00:00:00.0000000,"81","8","1.58","24","357"
"13631037","Westgate","Austin","TX","78745","House","Entire home/apt","2","$195.00 ",2017-01-01T00:00:00.0000000,"100","10","1.61","16","262"
"14844106","South Manchaca","Austin","TX","78745","House","Entire home/apt","3","$175.00 ",2017-01-01T00:00:00.0000000,"100","9","0.52","26","351"
"4157318","South First","Austin","TX","78704","House","Entire home/apt","3","$249.00 ",2017-01-01T00:00:00.0000000,"95","10","0.34","28","317"
"344976","South First","Austin","TX","78704","House","Entire home/apt","2","$370.00 ",2017-01-01T00:00:00.0000000,"98","9","0.58","7","342"
"15940810","Bouldin Creek","Austin","TX","78704","House","Entire home/apt","1","$250.00 ",2017-01-01T00:00:00.0000000,"100","10","0.45","3","126"
"11162692","Barton Hills","Austin","TX","78704","House","Entire home/apt","3","$295.00 ",2017-01-01T00:00:00.0000000,"80","8","0.45","10","288"
"8436527","Zilker","Austin","TX","78704","House","Entire home/apt","2","$150.00 ",2017-01-01T00:00:00.0000000,"100","10","0.49","11","30"
"1699415","Barton Hills","Austin","TX","78704","Apartment","Entire home/apt","1","$125.00 ",2017-01-01T00:00:00.0000000,"99","10","0.95","9","198"
"9231875","South Congress","Austin","TX","78704","Apartment","Entire home/apt","2","$399.00 ",2017-01-01T00:00:00.0000000,"95","10","0.56","0","0"
"2738969","Travis Heights","Austin","TX","78704","Apartment","Entire home/apt","1","$69.00 ",2017-01-01T00:00:00.0000000,"74","8","0.99","22","137"
"2476940","Copperfield","Austin","TX","78753","House","Entire home/apt","3","$159.00 ",2017-01-01T00:00:00.0000000,"92","9","0.83","8","8"
"14741244","University of Texas","Austin","TX","78705","House","Private room","1","$45.00 ",2017-01-01T00:00:00.0000000,"100","10","0.58","19","302"
"14917654","Mueller","Austin","TX","78723","House","Entire home/apt","2","$250.00 ",2017-01-01T00:00:00.0000000,"100","10","0.53","12","340"
"14808930","MLK & 183","Austin","TX","78721","House","Entire home/apt","3","$200.00 ",2017-01-01T00:00:00.0000000,"100","10","1.09","30","89"
"4417363","Angus Valley","Austin","TX","78727","Apartment","Entire home/apt","2","$80.00 ",2017-01-01T00:00:00.0000000,"93","10","0.14","0","0"
"9252583","North Loop","Austin","TX","78751","House","Private room","1","$27.00 ",2017-01-01T00:00:00.0000000,"100","10","0.07","21","356"
"2453663","Montopolis","Austin","TX","78741","House","Private room","1","$40.00 ",2017-01-01T00:00:00.0000000,"98","10","0.48","0","0"
"461404","Brentwood","Austin","TX","78751","House","Entire home/apt","2","$102.00 ",2017-01-02T00:00:00.0000000,"91","9","0.6","19","347"
"5237709","Brentwood","Austin","TX","78756","House","Entire home/apt","2","$95.00 ",2017-01-02T00:00:00.0000000,"100","10","0.42","0","0"
"8248658","Hancock","Austin","TX","78751","House","Entire home/apt","3","$295.00 ",2017-01-02T00:00:00.0000000,"97","9","0.64","3","275"
"2257304","Clarksville","Austin","TX","78703","Condominium","Entire home/apt","2","$140.00 ",2017-01-02T00:00:00.0000000,"96","9","0.41","22","333"
"16456883","Downtown","Austin","TX","78703","House","Private room","1","$55.00 ",2017-01-02T00:00:00.0000000,"100","6","0.46","11","36"
"10309872","Cherry Creek","Austin","TX","78749","House","Entire home/apt","3","$210.00 ",2017-01-02T00:00:00.0000000,"99","10","1.52","22","357"
"2452800","East Downtown","Austin","TX","78702","Boat","Entire home/apt","1","$90.00 ",2017-01-02T00:00:00.0000000,"99","10","2.69","6","100"
"13369620","East Downtown","Austin","TX","78702","Loft","Entire home/apt","1","$125.00 ",2017-01-02T00:00:00.0000000,"100","10","0.92","0","0"
"3264761","Holly","Austin","TX","78702","House","Entire home/apt","3","$275.00 ",2017-01-02T00:00:00.0000000,"95","10","0.24","6","6"
"4670487","Holly","Austin","TX","78702","House","Entire home/apt","3","$299.00 ",2017-01-02T00:00:00.0000000,"97","10","2.56","5","122"
"15446076","East Downtown","Austin","TX","78702","House","Entire home/apt","2","$120.00 ",2017-01-02T00:00:00.0000000,"100","10","0.6","3","150"
"1802053","East Downtown","Austin","TX","78702","House","Entire home/apt","4","$350.00 ",2017-01-02T00:00:00.0000000,"94","9","0.27","2","107"
"3193568","Bouldin Creek","Austin","TX","78704","House","Entire home/apt","3","$357.00 ",2017-01-02T00:00:00.0000000,"100","10","0.63","0","33"
"5078787","Travis Heights","Austin","TX","78704","House","Entire home/apt","2","$175.00 ",2017-01-02T00:00:00.0000000,"96","8","1","4","4"
"15176735","Zilker","Austin","TX","78704","Apartment","Entire home/apt","2","$200.00 ",2017-01-02T00:00:00.0000000,"100","10","0.58","0","0"
"14834774","Zilker","Austin","TX","78704","Apartment","Entire home/apt","1","$375.00 ",2017-01-02T00:00:00.0000000,"100","10","0.76","0","33"
"3229143","Barton Hills","Austin","TX","78704","House","Entire home/apt","2","$187.00 ",2017-01-02T00:00:00.0000000,"92","10","0.73","0","304"
"9732341","South Congress","Austin","TX","78704","House","Entire home/apt","2","$275.00 ",2017-01-02T00:00:00.0000000,"100","10","1.52","19","66"
"1627458","Zilker","Austin","TX","78704","House","Entire home/apt","2","$295.00 ",2017-01-02T00:00:00.0000000,"99","10","0.63","3","240"
"11588056","Zilker","Austin","TX","78704","House","Entire home/apt","1","$140.00 ",2017-01-02T00:00:00.0000000,"96","9","0.83","0","0"
"5615072","Travis Heights","Austin","TX","78704","House","Entire home/apt","2","$150.00 ",2017-01-02T00:00:00.0000000,"98","10","0.49","21","356"
"77639","Zilker","Austin","TX","78704","House","Entire home/apt","3","$245.00 ",2017-01-02T00:00:00.0000000,"92","9","0.28","0","278"
"3543027","Barton Hills","Austin","TX","78704","House","Entire home/apt","4","$545.00 ",2017-01-02T00:00:00.0000000,"98","10","0.31","5","241"
"14487801","Barton Creek","Austin","TX","78746","House","Entire home/apt","3","$339.00 ",2017-01-02T00:00:00.0000000,"80","9","1.52","18","334"
"13201325","Westlake Hills","West Lake Hills","TX","78746","House","Entire home/apt","4","$840.00 ",2017-01-02T00:00:00.0000000,"100","9","0.6","1","1"
"2501888","Westlake Hills","West Lake Hills","TX","78746","Other","Private room","1","$88.00 ",2017-01-02T00:00:00.0000000,"94","9","2.42","26","361"
"3269285","Westlake Hills","Austin","TX","78746","House","Entire home/apt","4","$1,200.00 ",2017-01-02T00:00:00.0000000,"95","10","1.15","28","340"
"16177373","Westlake Hills","Austin","TX","78746","Apartment","Entire home/apt","0","$99.00 ",2017-01-02T00:00:00.0000000,"80","10","0.7","2","2"
"15206706","Downtown","Austin","TX","78701","Condominium","Entire home/apt","2","$100.00 ",2017-01-02T00:00:00.0000000,"96","10","0.96","16","16"
"9509077","Downtown","Austin","TX","78701","Apartment","Entire home/apt","2","$249.00 ",2017-01-02T00:00:00.0000000,"98","10","1.45","14","323"
"5581585","Old West Austin","Austin","TX","78703","House","Private room","1","$105.00 ",2017-01-02T00:00:00.0000000,"94","9","0.66","0","0"
"4104747","Cherry Creek","Austin","TX","78749","House","Entire home/apt","3","$250.00 ",2017-01-02T00:00:00.0000000,"85","9","0.17","30","365"
"5837822","East Downtown","Austin","TX","78702","House","Entire home/apt","3","$160.00 ",2017-01-02T00:00:00.0000000,"96","10","0.69","30","365"
"8064084","South Manchaca","Austin","TX","78745","House","Entire home/apt","3","$350.00 ",2017-01-02T00:00:00.0000000,"100","10","0.07","30","365"
"9559710","West Campus","Austin","TX","78705","Condominium","Entire home/apt","1","$90.00 ",2017-01-02T00:00:00.0000000,"100","8","0.07","9","9"
"7894111","Hyde Park","Austin","TX","78751","House","Entire home/apt","2","$250.00 ",2017-01-03T00:00:00.0000000,"100","10","1.36","19","346"
"542124","East Downtown","Austin","TX","78702","House","Private room","1","$100.00 ",2017-01-03T00:00:00.0000000,"100","10","0.23","24","359"
